external oblique	배바깥빗근(외복사근)
pronator quadratus	네모엎침근(방형회내근)
flexor digitorum profundus	깊은손가락굽힘근(심지굴근)
flexor pollicis longus	긴엄지굽힘근(장무지굴근)
extensor carpi radialis longus	긴노쪽손목폄근(장요측수근신근)
extensor carpi radialis brevis	짧은노쪽손목폄근(단요측수근신근)
extensor digitorum	손가락폄근(총지신근)
extensor digiti minimi	새끼폄근(소지신근)
supinator	뒤침근(회외근)
abductor pollicis longus	긴엄지벌림근(장무지외전근)
extensor pollicis brevis	짧은엄지폄근(단무지신근)
extensor pollicis longus	긴엄지폄근(장무지신근)
extensor indicis	집게폄근(시지신근)
pronator teres	원엎침근(원회내근)
flexor carpi ulnaris	자쪽손목굽힘근(척측수근굴근)
extensor carpi ulnaris	자쪽손목폄근(척측수근신근)
flexor digitorum superficialis	얕은손가락굽힘근(천지굴근)
vastus intermedius	중간넓은근(중간광근)
gracilis	두덩정강근(박근)
platysma	넓은목근(광경근)
stylohyoid	붓목뿔근(경상설골근)
pubococcygeus	두덩꼬리근(치골미골근)
puborectalis	두덩곧창자근(치골직장근)
iliococcygeus	엉덩꼬리근(장골미골근)
biceps femoris	넙다리두갈래근(대퇴이두근)
flexor hallucis brevis	짧은엄지발가락굽힘근(단무지굴근)
adductor hallucis	엄지발가락모음근(무지내전근)
flexor pollicis brevis	짧은엄지굽힘근(단무지굴근)
adductor pollicis	엄지모음근(무지내전근)
longus colli	긴목근(경장근)
digastric	두힘살근(이복근)
longus capitis	긴머리근(두장근)
rectus capitis anterior	앞머리곧은근(전두직근)
rectus capitis lateralis	가쪽머리곧은근(외측두직근)
mylohyoid	턱목뿔근(악설골근)
geniohyoid	턱끝목뿔근(이설골근)
coccygeus	꼬리근(미골근)
frontalis	이마근(전두근)
occipitalis	뒤통수근(후두근)
temporoparietalis	관자마루근(측두두정근)
orbicularis oculi	눈둘레근(안륜근)
corrugator supercilii	눈썹주름근(추미근)
levator labii superioris alaeque nasi	위입술콧방울올림근
levator labii superioris	위입술올림근(상순거근)
zygomaticus major	큰광대근(대관골근)
zygomaticus minor	작은광대근(소관골근)
depressor labii inferioris	아래입술내림근(하순하제근)
levator anguli oris	입꼬리올림근(구각거근)
mentalis	턱끝근(이근)
depressor anguli oris	입꼬리내림근(구각하제근)
buccinator	볼근(협근)
risorius	입꼬리당김근(소근)
masseter	깨물근(교근)
temporalis	관자근(측두근)
medial pterygoid	안쪽날개근(내측익돌근)
lateral pterygoid	가쪽날개근(외측익돌근)
extensor digitorum brevis	짧은발가락폄근(단지신근)
extensor hallucis brevis	짧은엄지발가락폄근(단무지신근)
nasalis	코근(비근)
depressor septi nasi	코중격내림근(비중격하제근)
procerus	눈살근(비근근)
flexor hallucis longus	긴엄지발가락굽힘근(장무지굴근)
flexor digitorum longus	긴발가락굽힘근(장지굴근)
tibialis posterior	뒤정강근(후경골근)
transversus thoracis	가슴가로근(흉횡근)
orbicularis oris	입둘레근(구륜근)
diaphragm	가로막(횡격막)
external anal sphincter	바깥항문조임근(외항문괄약근)
external intercostal muscle	바깥갈비사이근(외늑간근)
internal intercostal muscle	속갈비사이근(내늑간근)
innermost intercostal muscle	가장속갈비사이근(최내늑간근)
calcaneal tendon	발꿈치힘줄(아킬레스건)
intermediate tendon	중간힘줄
iliotibial tract	엉덩정강근막띠(장경인대)
inguinal ligament	샅고랑인대(서혜인대)
flexor retinaculum of wrist	손목 굽힘근지지띠(굴근지대)
linea alba	백색선(백선)
aponeurosis of epicranius	머리덮개 널힘줄(모상건막)
tendinous arch of levator ani	항문올림근 힘줄활
anterior cervical intertransversarii	앞목가로돌기사이근
posterior cervical intertransversarii	뒤목가로돌기사이근
lateral lumbar intertransversarius muscles	가쪽허리가로돌기사이근
medial lumbar intertransversarius muscles	안쪽허리가로돌기사이근
interspinales lumborum	허리가시사이근
interspinales thoracis	등가시사이근
interspinales cervicis	목가시사이근
levatores costarum longi	긴갈비올림근
levatores costarum breves	짧은갈비올림근
pancreatic duct	이자관(췌관)
pituitary gland	뇌하수체
appendix	막창자꼬리(충수)
ureter	요관
adrenal gland	부신
esophagus	식도
trachea	기관
bronchus	기관지
prostate	전립샘(전립선)
urethra	요도
testis	고환
epididymis	부고환
deferent duct	정관
seminal vesicle	정낭
glans penis	귀두
corpus cavernosum of penis	음경해면체
corpus spongiosum of penis, nsn	요도해면체(원본 nsn)
ear	귀
eyeball	안구
thyroid cartilage	방패연골(갑상연골)
set of nasal cartilages	코연골 모음
labial part of mouth, nsn	입술 부분(원본 nsn)
lobe of thymus	가슴샘 엽(흉선엽)
tricuspid valve	삼첨판
mitral valve	승모판
pulmonary valve	폐동맥판
anterior papillary muscle of right ventricle	오른심실 앞유두근
posterior papillary muscle of right ventricle	오른심실 뒤유두근
septal papillary muscle of right ventricle	오른심실 중격유두근
posterior papillary muscle of left ventricle	왼심실 뒤유두근
papillary muscle of left ventricle, nsn	왼심실 유두근(원본 nsn)
mesocolic taenia	잘록창자간막띠(결장간막띠)
omental taenia	그물막띠(대망띠)
free taenia	자유띠
coronary sinus	심장정맥굴(관상정맥동)
set of anterior cardiac veins	앞심장정맥 모음
set of posterior veins of left ventricle	왼심실 뒤정맥 모음
posterior interventricular branch of right coronary artery, nsn	오른관상동맥 뒤심실사이가 가지(원본 nsn)
anterior interventricular branch of left coronary artery, nsn	왼관상동맥 앞심실사이가 가지(원본 nsn)
thalamus	시상
amygdala	편도체
hippocampus	해마
putamen	조가비핵(피각)
globus pallidus	창백핵
caudate nucleus	꼬리핵(미상핵)
insula	섬엽(도엽)
occipital lobe	뒤통수엽(후두엽)
optic tract	시각로(시삭)
optic chiasm	시각교차(시신경교차)
pineal body	솔방울샘(송과체)
hypothalamus, nsn	시상하부(원본 nsn)
central canal of spinal cord	척수 중심관(공간 모델)
fourth ventricle	넷째뇌실(제4뇌실)
third ventricle	셋째뇌실(제3뇌실)
lateral ventricle	가쪽뇌실(측뇌실)
cerebral aqueduct	중간뇌수도관(중뇌수도)
interpeduncular fossa	다리사이오목(각간와)
peduncle of midbrain	중간뇌다리(대뇌각)
habenula	고삐(수강)
mammillary body	유두체
tuber cinereum	회색융기
interventricular foramen	뇌실사이구멍(실간공)
posterior commissure	뒤맞교차(후교련)
anterior commissure	앞맞교차(전교련)
lamina terminalis	종말판
corpus callosum	뇌들보(뇌량)
commissure of fornix of forebrain	뇌활맞교차(뇌궁교련)
septum pellucidum	투명사이막(투명중격)
choroid plexus of cerebral hemisphere	대뇌반구 맥락얼기
superior frontal gyrus	위이마이랑(상전두회)
middle frontal gyrus	중간이마이랑(중전두회)
precentral gyrus	중심앞이랑(중심전회)
postcentral gyrus	중심뒤이랑(중심후회)
supramarginal gyrus	모서리위이랑(연상회)
angular gyrus	모이랑(각회)
middle temporal gyrus	중간관자이랑(중측두회)
inferior temporal gyrus	아래관자이랑(하측두회)
fusiform gyrus	방추이랑(방추회)
accessory short gyrus	덧짧은이랑
parahippocampal gyrus	해마곁이랑(해마방회)
cingulate gyrus	띠이랑(대상회)
superior temporal gyrus	위관자이랑(상측두회)
anterior limb of internal capsule	속섬유막 앞다리(내포전각)
fornix of forebrain	뇌활(뇌궁)
stria terminalis	종말끈(분계조)
lateral geniculate body	가쪽무릎체(외측슬상체)
medial geniculate body	안쪽무릎체(내측슬상체)
stria medullaris of thalamus	시상속질줄(시상수조)
superior colliculus	위둔덕(상구)
inferior colliculus	아래둔덕(하구)
brachium of superior colliculus	위둔덕팔(상구완)
brachium of inferior colliculus	아래둔덕팔(하구완)
superior parietal lobule precuneus	위마루소엽·쐐기앞소엽
orbital gyri straight gyrus	눈확이랑·곧은이랑
neural tissue of spinal cord	척수 신경조직
median nerve	정중신경
radial nerve	노신경(요골신경)
ulnar nerve	자신경(척골신경)
axillary nerve	겨드랑신경(액와신경)
musculocutaneous nerve	근육피부신경(근피신경)
olfactory nerve	후각신경
olfactory tract	후각로
optic nerve	시신경
trochlear nerve	도르래신경(활차신경)
abducens nerve	갓돌림신경(외전신경)
oculomotor nerve	눈돌림신경(동안신경)
trigeminal nerve	삼차신경
facial nerve	얼굴신경(안면신경)
vestibulocochlear nerve	속귀신경(전정와우신경)
glossopharyngeal nerve	혀인두신경(설인신경)
vagus nerve	미주신경
accessory nerve	더부신경(부신경)
hypoglossal nerve	혀밑신경(설하신경)
ophthalmic nerve	눈신경(안신경)
maxillary nerve	위턱신경(상악신경)
mandibular nerve	아래턱신경(하악신경)
frontal nerve	이마신경(전두신경)
lacrimal nerve	눈물샘신경(누선신경)
nasociliary nerve	코섬모체신경(비모양체신경)
supra-orbital nerve	눈확위신경(안와상신경)
supratrochlear nerve	도르래위신경(활차상신경)
infratrochlear nerve	도르래아래신경(활차하신경)
long ciliary nerve	긴섬모체신경(장모양체신경)
short ciliary nerve	짧은섬모체신경(단모양체신경)
ciliary ganglion	섬모체신경절(모양체신경절)
anterior ethmoidal nerve	앞벌집신경(전사골신경)
posterior ethmoidal nerve	뒤벌집신경(후사골신경)
infra-orbital nerve	눈확아래신경(안와하신경)
external nasal nerve	바깥코신경(외비신경)
zygomatic nerve	광대신경(관골신경)
posterior superior alveolar nerve	뒤위이틀신경(후상치조신경)
middle superior alveolar nerve	중간위이틀신경(중상치조신경)
anterior superior alveolar nerve	앞위이틀신경(전상치조신경)
inferior alveolar nerve	아래이틀신경(하치조신경)
nasopalatine nerve	코입천장신경(비구개신경)
greater palatine nerve	큰입천장신경(대구개신경)
lesser palatine nerve	작은입천장신경(소구개신경)
lateral posterior superior nasal nerve	가쪽뒤위코신경
medial posterior superior nasal nerve	안쪽뒤위코신경
posterior inferior nasal nerve	뒤아래코신경
pterygopalatine ganglion	날개입천장신경절(익구개신경절)
otic ganglion	귀신경절(이신경절)
pharyngeal nerve	인두신경
buccal nerve	볼신경(협신경)
lingual nerve	혀신경(설신경)
mental nerve	턱끝신경(이신경)
auriculotemporal nerve	귓바퀴관자신경(이개측두신경)
masseteric nerve	깨물근신경(교근신경)
lateral pterygoid nerve	가쪽날개근신경
medial pterygoid nerve	안쪽날개근신경
middle meningeal nerve	중간뇌막신경
mylohyoid nerve	턱목뿔근신경
posterior auricular nerve	뒤귓바퀴신경(후이개신경)
lesser occipital nerve	작은뒤통수신경(소후두신경)
great auricular nerve	큰귓바퀴신경(대이개신경)
transverse cervical nerve	목가로신경(경횡신경)
supraclavicular nerve	빗장위신경(쇄골상신경)
phrenic nerve	가로막신경(횡격신경)
ansa cervicalis	목신경고리(경신경고리)
brachial nerve plexus	팔신경얼기(상완신경총)
long thoracic nerve	긴가슴신경(장흉신경)
subclavian nerve	빗장밑신경(쇄골하신경)
medial pectoral nerve	안쪽가슴근신경
superior subscapular nerve	위어깨밑신경
thoracodorsal nerve	가슴등신경(흉배신경)
anterior interosseous nerve	앞뼈사이신경(전골간신경)
intercostobrachial nerve	갈비사이위팔신경(늑간상완신경)
intercostal nerve	갈비사이신경(늑간신경)
recurrent laryngeal nerve	되돌이후두신경(반회후두신경)
cervical nerve	목신경(경신경)
thoracic nerve	가슴신경(흉신경)
thyroid gland	갑상샘(갑상선)
parathyroid gland	부갑상샘(부갑상선)
levator palpebrae superioris	위눈꺼풀올림근
inferior oblique	아래빗근
inferior rectus	아래곧은근
medial rectus	안쪽곧은근
superior rectus	위곧은근
orbitalis	눈확근
 tensor tympani	고막긴장근
tensor veli palatini	입천장긴장근
